--- 01-2019_January.csv ---

Table 2:  Imported Quantity of Fish and Fishery Products (Mt),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Maldive fish,646.6040899999999,1658.35257022,1993.8481,1624.212214,1545.97068334,115.129988,171.751387,49.180409017327435,5.068118563449189
Canned Fish,5092.198891999999,11918.761415999998,9638.225181,9605.574855,8615.929668,1454.750253,1428.143724,-1.8289413557503544,42.14231887907756
Food fish,4356.755496,6763.7629022,10110.62955334,8604.74907857,7322.68758512,577.98972,517.386187,-10.48522679607521,15.267268489697223
Live fish,117.523067,196.81875526,214.78843461000002,333.62701179,257.407716,19.638579,27.696996,41.033605333664916,0.8172956389538673
Other,342.46071,681.096141,761.6816415100001,624.806307,1270.2395216599998,66.929696,113.19186,69.12053507608938,3.340117229430827
Total,18859.940531,30728.64099174,35172.2698263,33969.45690936,32726.384586309996,3190.942793,3388.8589,6.202433570234175,100
,,,,,,,,,
Table 4:  Exported Quantity of Fish and Fishery Products (Mt),,,,,,,,,
Item,2014,2015,2016,2017,2018,2018 Jan,2019 Jan,  Change %  2019/2018,Percentage to Total
Live fish (2),na ,na ,na ,na ,na ,na ,na ,na ,na 
Prawns,2001.2790000000002,1340.87685,1666.9001240000002,1844.49075,1983.8250300000002,99.94391,226.86997999999997,126.99730278713326,7.878151942975132
Lobsters,300.581,204.39748,174.99682,224.39643999999998,231.49798,33.85042,36.42132,7.594883608534257,1.2647450884586804
Crabs,1872.4490000000003,1709.6114800000003,2117.15499,1819.23406,1400.5223079999998,123.53858000000001,167.07442000000003,35.240683517650936,5.80172690342038
Beche de mer,164.555,169.2616,136.1737,150.35972,247.53267000000002,6.954,36.06215,418.5813920046017,1.2522727647367038
Other Moluscus,2430.612,1371.3491099999999,1567.58363,3152.4305460000005,3672.4951784,374.79886,329.67530000000005,-12.039406950170537,11.448108318455839
Shark fins,31.895000000000003,38.5244,35.711999999999996,52.436,86.40289999999999,10.099,4.416300000000001,-56.269927715615395,0.1533578062014246
Fish maws,2.346,2.2253499999999997,1.389,6.96559,4.73322,0.33624,0.365,8.553414227932432,0.012674772833258605
Chank & shells,343.21200000000005,288.83829999999995,297.19800000000004,354.9789,328.75579999999997,12.265,19.02,55.0754178556869,0.6604772035303524
Food Fish ,18657.872000000003,11806.72161,11101.059205,16250.33323,18031.259452999995,1523.6659149999998,1980.2049400000003,29.96319734565963,68.76341856930546
Other,515.2750000000001,529.3298,494.868415,971.15867,2011.0055899999988,33.65346000000001,79.62661999999999,136.60752861667112,2.7650666300827567
Total,26320.075999999997,17461.13598,17593.035884,24826.783906,27998.030129399995,2219.105385,2879.736030000001,29.770133922684394,100
,,,,,,,,,
Table 5:  Value of Exported Fish and Fishery Products (Rs.Mn),,,,,,,,,
Item,2014,2015,2016,2017,2018,2018 Jan,2019 Jan,  Change %  2019/2018,Percentage to Total
Live fish,1636.3798259999999,2392.217227,1846.7438190000003,2288.273314,2626.075505,256.231802,285.346765,11.362743723747448,5.037412015660912
Prawns,3375.4132079999995,1970.815966,2464.2145910000004,3213.237193,3485.106051,196.271756,408.154755,107.95389174589134,7.205421330380725
Lobsters,1148.130085,776.712584,656.7540150000001,781.56231,971.330009,119.743434,159.28669,33.023318840179584,2.811991529467155
Crabs,2617.029388,2049.6074430000003,2623.1322999999998,3336.066033,4315.999644,317.570654,534.058539,68.1699906062479,9.428082709908809
Beche de mer,521.2736050000001,481.4798609999999,383.45451800000006,494.456584,1399.865481,27.826699,218.469321,685.1068536731576,3.8567810034877423
Other Moluscus,1139.365468,738.997737,1038.2457550000001,2648.012702,3396.796273,356.256703,291.968903,-18.045358714275196,5.154316924432402
Shark fins,150.72083700000002,171.21752000000004,133.008418,213.576217,339,32.443045,26.047442,-19.713325305932283,0.4598324333833983
Fish maws,20.076605000000004,6.128117,15.710575999999998,35.878715,67.735724,4.087652,0.69188,-83.07390159436272,0.012214207598938338
Chank & shells,124.055736,109.28511800000001,113.21851000000001,147.184189,123.212658,4.013857,17.538528,336.94949770258387,0.3096190408333711
Food Fish ,23582.965734999994,15528.346741689997,16877.448832999995,24689.739339310003,29758.73272032,2423.18356,3604.006866,48.73024584237441,63.62387704417405
Other ,481.757686,491.26304875000005,649.7162255999999,1381.68623051,1465,117.30747459999999,118.981158,1.426749152777347,2.100451760672491
Total,34797.168179,24716.07136344,26801.6475606,39229.67282682,47948.85406532,3854.9366366,5664.550847,46.9427744471581,100
Source :  Statistics Unit/ Ministry of Fisheries and Aquatic Resources,,,,,,,,,
Note     : (1) Fisheries sector tables were prepared by SU/MFARD based on the monthly costom returns,,,,,,,,,
                  (2) Live fish weight included water (container),,,,,,,,,
